,hora,X,0,1,2,3,4,5,6,7
207,4.1,44,NA,NA,44,NA,NA,NA,NA,NA
208,5,43,NA,NA,43,NA,NA,NA,NA,NA
209,5.1,7,NA,NA,7,NA,NA,NA,NA,NA
210,5.2,6,NA,NA,6,NA,NA,NA,NA,NA
211,5.3,4,NA,NA,4,NA,NA,NA,NA,NA
212,5.4,243,NA,NA,243,NA,NA,NA,NA,NA
213,5.5,0,NA,NA,0,0,NA,0,0,0
214,6.4,33,NA,NA,33,NA,NA,NA,NA,NA
215,7.4,159,NA,NA,159,NA,NA,NA,NA,NA
216,7.5,76,NA,NA,76,NA,NA,NA,NA,NA
217,8,121,NA,NA,121,NA,NA,NA,NA,NA
218,14.4,122,NA,NA,122,NA,NA,NA,NA,NA
219,14.5,126,NA,NA,126,NA,NA,NA,NA,NA
220,15,416,NA,NA,416,NA,NA,NA,NA,NA
221,15.1,14,NA,NA,14,NA,NA,NA,NA,NA
222,15.2,52,NA,NA,52,NA,NA,NA,NA,NA
223,15.3,323,NA,NA,323,NA,NA,NA,NA,NA
224,15.4,273,NA,NA,273,NA,NA,NA,NA,NA
225,15.5,139,NA,NA,139,NA,NA,NA,NA,NA
226,16,263,NA,NA,263,NA,NA,NA,NA,NA
227,16.1,235,NA,NA,235,NA,NA,NA,NA,NA
228,16.2,154,NA,NA,154,NA,NA,NA,NA,NA
229,16.3,189,NA,NA,189,NA,NA,NA,NA,NA
230,16.4,262,NA,NA,262,NA,NA,NA,NA,NA
231,16.5,331,NA,NA,331,NA,NA,NA,NA,NA
232,17,66,NA,NA,66,NA,NA,NA,NA,NA
233,18.1,0,NA,NA,0,NA,NA,NA,NA,NA
234,18.2,0,NA,NA,0,NA,NA,NA,NA,NA
235,19.1,43,NA,NA,43,NA,NA,NA,NA,NA
236,19.2,249,NA,NA,249,NA,NA,NA,NA,NA
237,19.3,6,NA,NA,6,NA,NA,NA,NA,NA
238,19.4,268,NA,NA,268,NA,NA,NA,NA,NA
239,19.5,180,NA,NA,180,NA,NA,NA,NA,NA
240,20,1,NA,NA,1,NA,NA,NA,NA,NA
241,20.1,424,NA,NA,424,NA,NA,NA,NA,NA
242,20.2,75,NA,NA,75,NA,NA,NA,NA,NA
243,20.4,0,NA,NA,0,0,NA,0,NA,NA
244,20.5,0,NA,NA,0,0,NA,NA,NA,NA
245,21,0,NA,NA,0,0,NA,NA,NA,NA
246,21.1,1,NA,NA,1,NA,NA,NA,NA,NA
247,21.2,0,NA,NA,0,0,NA,0,NA,NA
248,21.3,0,NA,NA,0,0,NA,0,NA,NA
249,21.4,43,NA,NA,43,NA,NA,NA,NA,NA
250,21.5,163,NA,NA,163,NA,NA,NA,NA,NA
251,22.1,104,NA,NA,104,NA,NA,NA,NA,NA
252,22.2,80,NA,NA,80,NA,NA,NA,NA,NA
253,22.3,7,NA,NA,7,NA,NA,NA,NA,NA
254,22.4,117,NA,NA,117,NA,NA,NA,NA,NA
255,22.5,279,NA,NA,279,NA,NA,NA,NA,NA
256,23,323,NA,NA,323,NA,NA,NA,NA,NA
257,23.1,6,NA,NA,6,NA,NA,NA,NA,NA
258,23.3,308,NA,NA,308,NA,NA,NA,NA,NA
259,23.4,89,NA,NA,89,NA,NA,NA,NA,NA
260,23.5,93,NA,NA,93,NA,NA,NA,NA,NA
261,0,90,NA,NA,NA,90,NA,NA,NA,NA
262,0.1,252,NA,NA,NA,252,NA,NA,NA,NA
263,0.2,7,NA,NA,NA,7,NA,NA,NA,NA
264,0.3,287,NA,NA,NA,287,NA,NA,NA,NA
265,0.4,25,NA,NA,NA,25,NA,NA,NA,NA
266,0.5,10,NA,NA,NA,10,NA,NA,NA,NA
267,1,17,NA,NA,NA,17,NA,NA,NA,NA
268,1.1,2,NA,NA,NA,2,NA,NA,NA,NA
269,1.2,0,NA,NA,NA,0,0,NA,NA,NA
270,1.3,0,NA,NA,NA,0,0,NA,NA,0
271,1.4,1,NA,NA,NA,1,NA,NA,NA,NA
272,1.5,0,NA,NA,NA,0,0,NA,NA,NA
273,2,0,NA,NA,NA,0,0,NA,NA,NA
274,2.1,0,NA,NA,NA,0,0,NA,0,NA
275,2.2,6,NA,NA,NA,6,NA,NA,NA,NA
276,2.3,75,NA,NA,NA,75,NA,NA,NA,NA
277,2.4,271,NA,NA,NA,271,NA,NA,NA,NA
278,2.5,201,NA,NA,NA,201,NA,NA,NA,NA
279,3,151,NA,NA,NA,151,NA,NA,NA,NA
280,3.1,153,NA,NA,NA,153,NA,NA,NA,NA
281,3.2,179,NA,NA,NA,179,NA,NA,NA,NA
282,3.4,33,NA,NA,NA,33,NA,NA,NA,NA
283,5,0,NA,NA,NA,0,NA,0,0,NA
284,5.1,0,NA,NA,NA,0,0,0,0,0
285,5.2,0,NA,NA,NA,0,0,0,0,0
286,5.3,0,NA,NA,NA,0,NA,0,0,0
287,7.1,2,NA,NA,NA,2,NA,NA,NA,NA
288,12.5,67,NA,NA,NA,67,NA,NA,NA,NA
