Registro empezado el 2023/1/3 a las 14:7,,,,,,,,
Hora,Canal1,,,,,,,
16:30,,,,,131,,,
16:40,,,,,401,,,
16:50,,,,,262,,,
17:00,,,,,261,,,
17:10,,,,,399,,,
17:20,,,,,430,,,
17:30,,,,,31,,,
17:40,,,,,35,,,
17:50,,,,,156,,,
18:00,,,,,174,,,
18:10,,,,,34,,,
18:20,,,,,424,,,
18:30,,,,,0,,,
18:40,,,,,132,,,
18:50,,,,,304,,,
19:00,,,,,235,,,
19:10,,,,,235,,,
19:20,,,,,255,,,
19:30,,,,,0,,,
19:40,,,,,89,,,
19:50,,,,,217,,,
20:00,,,,,320,,,
20:10,,,,,121,,,
20:20,,,,,1,,,
20:30,,,,,0,,,
20:40,,,,,117,,,
20:50,,,,,143,,,
21:00,,,,,139,,,
21:10,,,,,86,,,
21:20,,,,,12,,,
21:30,,,,,8,,,
21:40,,,,,0,,,
21:50,,,,,1,,,
22:00,,,,,0,,,
22:10,,,,,0,,,
22:20,,,,,0,,,
22:30,,,,,0,,,
22:40,,,,,0,,,
22:50,,,,,0,,,
23:00,,,,,0,,,
23:10,,,,,0,,,
23:20,,,,,0,,,
23:30,,,,,0,,,
23:40,,,,,0,,,
23:50,,,,,0,,,
00:00,,,,,,0,,
00:10,,,,,,0,,
00:20,,,,,,125,,
00:30,,,,,,0,,
00:40,,,,,,6,,
00:50,,,,,,159,,
01:00,,,,,,1,,
01:10,,,,,,0,,
01:20,,,,,,187,,
01:30,,,,,,131,,
01:40,,,,,,286,,
01:50,,,,,,106,,
02:00,,,,,,311,,
02:10,,,,,,125,,
02:20,,,,,,0,,
02:30,,,,,,164,,
02:40,,,,,,45,,
02:50,,,,,,41,,
03:00,,,,,,5,,
03:10,,,,,,0,,
03:20,,,,,,0,,
03:30,,,,,,0,,
03:40,,,,,,0,,
03:50,,,,,,0,,
04:00,,,,,,0,,
04:10,,,,,,0,,
04:20,,,,,,0,,
04:30,,,,,,0,,
