Test,Animal,Treatment,Stage,Trial,Date,Time,Duration,Distance,Velocidad,TiempoSE,TiempoSO,TiempoNO,TiempoNE
161,3b,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:22:00,17.6,4.232,0.24,3.4,3.9,4.4,5.9
162,3b,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:23:00,22.1,4.398,0.199,3.8,2.7,0.8,14.8
163,3b,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:24:00,7.6,1.369,0.18,0,0,2.5,5.1
164,1-1,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:27:00,49.6,9.15,0.184,7.5,7.3,12.5,22.3
165,1-1,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:28:00,33.3,6.343,0.19,8.5,6,9.5,9.3
166,1-1,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:29:00,28,5.204,0.186,2.7,6.9,8.5,9.8
167,1-1,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:30:00,2.1,0.27,0.129,0,0,0,2.1
168,2-1,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:33:00,15.2,3.349,0.22,0.1,3.4,6,5.7
169,2-1,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:33:00,41.1,9.39,0.229,11.3,4.9,8.6,16.3
170,2-1,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:34:00,4.1,0.459,0.112,0,0,0,4.1
171,2-1,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:35:00,5.9,0.933,0.159,0,0,1.8,4.1
172,3-1,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:35:00,33.8,8.097,0.239,9.3,8.4,6.5,9.6
173,3-1,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:36:00,39.9,8.072,0.202,6.6,13.2,6,14.1
174,3-1,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:37:00,1.6,0.26,0.16,0,0,0,1.6
175,3-1,CUMS_ctrl,entrenamiento_3,4,12/21/2022,14:38:00,12.7,2.7,0.212,3.4,3.5,3.3,2.5
176,4-1,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:39:00,4.5,2.574,0.567,0,1.3,1.9,1.3
177,4-1,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:39:00,8.5,2.03,0.237,4.2,0.7,0,3.6
178,4-1,CUMS_ctrl,entrenamiento_3,3,12/21/2022,14:40:00,18.3,3.788,0.207,6.1,0.1,2.2,9.9
