Time,Centre position X,Centre position Y
112.000,430,127
112.110,430,109
112.230,430,92
112.340,430,76
112.460,430,67
112.570,430,65
112.690,430,65
112.800,429,64
112.910,429,60
113.020,429,58
113.140,428,56
113.250,429,56
113.360,429,56
113.470,430,57
113.590,429,57
113.700,429,57
113.820,429,57
113.940,429,57
114.060,429,57
114.180,429,57
114.300,429,56
114.420,427,55
114.530,425,54
114.650,425,54
114.760,425,54
114.870,425,54
114.990,425,54
115.110,422,54
115.240,415,53
115.350,408,53
115.470,409,53
115.570,410,53
115.690,410,53
115.800,405,55
115.930,394,56
116.050,384,57
116.150,382,56
116.270,385,55
116.380,385,54
116.500,382,53
116.620,373,54
116.730,367,53
116.850,363,53
116.970,363,54
117.080,358,53
117.200,351,53
117.320,348,52
117.440,347,53
117.560,350,53
117.680,349,52
117.790,349,52
117.910,349,51
118.020,351,53
118.140,353,54
118.250,354,54
118.360,355,53
118.480,355,52
118.600,355,53
118.720,355,52
118.830,355,53
118.960,355,53
119.070,355,53
119.180,356,55
119.300,357,56
119.420,357,56
119.530,354,55
119.640,345,54
119.760,331,55
119.880,311,57
120.000,295,58
120.110,268,58
120.230,248,57
120.350,222,53
120.460,204,51
120.570,188,51
120.690,176,51
120.810,172,51
120.930,167,53
121.040,162,53
121.160,158,54
121.270,159,54
121.390,156,53
121.500,156,53
121.620,157,53
121.730,156,53
121.840,156,53
121.950,155,55
122.070,155,55
122.180,155,56
122.300,152,55
122.410,152,53
122.530,152,53
122.640,152,54
122.760,152,54
122.890,155,53
123.000,158,54
123.130,158,56
123.240,159,58
123.360,158,59
123.470,157,60
123.580,157,59
123.690,157,60
123.800,157,60
123.910,158,62
124.030,156,64
124.140,155,65
124.260,155,63
124.370,155,61
124.490,155,60
124.610,155,57
124.720,158,54
124.840,159,54
124.950,159,55
125.060,158,55
125.190,157,54
125.300,157,54
125.410,157,54
125.520,157,54
125.650,157,54
125.760,157,54
125.880,158,55
125.990,157,55
126.110,157,54
126.220,157,54
126.330,158,54
126.450,159,57
126.570,160,57
126.680,160,54
126.790,158,55
126.900,157,54
127.020,158,55
127.130,158,58
127.250,160,63
127.360,161,65
127.470,161,65
127.590,161,65
127.710,165,66
127.820,178,69
127.930,194,71
128.040,215,68
128.160,242,63
128.270,263,59
128.400,286,56
128.510,316,53
128.630,339,51
128.740,366,52
128.860,385,53
128.970,405,53
129.080,414,53
129.200,420,54
129.310,423,55
129.420,427,58
